EventId,EventTemplate,Occurrences
c1d6825f,"<*> ""GET <*> HTTP<*>"" status: <*> len: <*> time: <*>.<*>",8632
72f56ddb,[instance: <*>] <*> <*>,589
c583951f,[instance: <*>] VM <*> (Lifecycle Event),985
7d8b6b51,"While synchronizing instance power states, found <*> instances in the database and <*> instances on the hypervisor.",4
fe9c1237,[instance: <*>] During sync_power_state the instance has a pending task (spawning). Skip.,387
904416f0,image <*> at (<*>): checking,766
1ea73ca5,"image <*> at (<*>): in use: on this node <*> local, <*> on other nodes sharing this instance storage",766
b36febb0,Active base files: <*>,766
3b70c34a,Creating event network-vif-plugged:<*> for instance <*>,196
d9b0b4c6,"<*> ""POST <*> HTTP<*>"" status: <*> len: <*> time: <*>.<*>",588
899b89e9,[instance: <*>] Instance <*> successfully.,393
a4e9a3fb,[instance: <*>] Took <*> to <*> the instance on the hypervisor.,393
c6cffc07,[instance: <*>] Took <*> to build instance.,197
d4724757,"<*> ""DELETE <*>/<*> HTTP<*>"" status: <*> len: <*> time: <*>.<*>",196
27286d97,[instance: <*>] Deleting instance files <*>,196
822b21a7,[instance: <*>] Deletion of <*> complete,196
7f7f6cff,[instance: <*>] Took <*> to deallocate network for instance.,196
66acd71e,HTTP exception thrown: No instances found for any event,196
51387d9b,Unknown base file: <*>,270
3964d785,Removable base files: <*>,270
8087023c,Removing base or swap file: <*>,196
913d429b,"[instance: <*>] Attempting claim: memory <*>, disk <*>, vcpus <*>",196
75e8f5d0,"[instance: <*>] Total <*> <*>, used: <*>",392
f32df7a1,"[instance: <*>] memory limit: <*>, free: <*>",196
3f98d481,"[instance: <*>] <*> limit not specified, defaulting to unlimited",392
91366665,"[instance: <*>] Total vcpu: <*> VCPU, used: <*>.<*> VCPU",196
d019cee3,Auditing locally available compute resources for node cp-<*>.slowvm1.tcloud-pg0.utah.cloudlab.us,135
f436579e,"Total usable vcpus: <*>, total allocated vcpus: <*>",135
607ec3c2,Final resource view: name=cp-<*>.slowvm1.tcloud-pg0.utah.cloudlab.us phys_ram=<*> used_ram=<*> phys_disk=<*> used_disk=<*> total_vcpus=<*> used_vcpus=<*> pci_stats=[],135
335ef092,Compute_service record updated for cp-<*>.slowvm1.tcloud-pg0.utah.cloudlab.us:cp-<*>.slowvm1.tcloud-pg0.utah.cloudlab.us,135
2c00d500,Successfully synced instances from host 'cp-<*>.slowvm1.tcloud-pg0.utah.cloudlab.us'.,38
fd9aba29,The instance sync for host 'cp-<*>.slowvm1.tcloud-pg0.utah.cloudlab.us' did not match. Re-created its InstanceList.,29
b7d6364d,Base or swap file too young to remove: <*>,74
63e82264,"couldn't obtain the vcpu count from domain id: <*>, exception: Requested operation is not valid: cpu affinity is not supported",1
5694aaf9,Running instance usage audit for host cp-<*>.slowvm1.tcloud-pg0.utah.cloudlab.us from <*> <*> to <*> <*>. <*> instances.,2
