EventId,EventTemplate,Occurrences
7f7f6cff,[instance: <*>] Took <*> to deallocate network for instance.,1313
51387d9b,Unknown base file: <*>,1951
3964d785,Removable base files: <*>,1951
8087023c,Removing base or swap file: <*>,1313
c1d6825f,"<*> ""GET <*> HTTP<*>"" status: <*> len: <*> time: <*>.<*>",57443
d9b0b4c6,"<*> ""POST <*> HTTP<*>"" status: <*> len: <*> time: <*>.<*>",3938
913d429b,"[instance: <*>] Attempting claim: memory <*>, disk <*>, vcpus <*>",1313
75e8f5d0,"[instance: <*>] Total <*> <*>, used: <*>",2626
f32df7a1,"[instance: <*>] memory limit: <*>, free: <*>",1313
3f98d481,"[instance: <*>] <*> limit not specified, defaulting to unlimited",2626
91366665,"[instance: <*>] Total vcpu: <*> VCPU, used: <*>.<*> VCPU",1313
72f56ddb,[instance: <*>] <*> <*>,3938
c583951f,[instance: <*>] VM <*> (Lifecycle Event),6566
d019cee3,Auditing locally available compute resources for node cp-<*>.slowvm1.tcloud-pg0.utah.cloudlab.us,1226
f436579e,"Total usable vcpus: <*>, total allocated vcpus: <*>",1226
607ec3c2,Final resource view: name=cp-<*>.slowvm1.tcloud-pg0.utah.cloudlab.us phys_ram=<*> used_ram=<*> phys_disk=<*> used_disk=<*> total_vcpus=<*> used_vcpus=<*> pci_stats=[],1226
335ef092,Compute_service record updated for cp-<*>.slowvm1.tcloud-pg0.utah.cloudlab.us:cp-<*>.slowvm1.tcloud-pg0.utah.cloudlab.us,1226
904416f0,image <*> at (<*>): checking,9128
1ea73ca5,"image <*> at (<*>): in use: on this node <*> local, <*> on other nodes sharing this instance storage",9128
b36febb0,Active base files: <*>,9121
47f4680b,[instance: <*>] During sync_power_state the instance has a pending task <*> Skip.,2589
3b70c34a,Creating event network-vif-plugged:<*> for instance <*>,1313
899b89e9,[instance: <*>] Instance <*> successfully.,2625
a4e9a3fb,[instance: <*>] Took <*> to <*> the instance on the hypervisor.,2625
c6cffc07,[instance: <*>] Took <*> to build instance.,1313
d4724757,"<*> ""DELETE <*>/<*> HTTP<*>"" status: <*> len: <*> time: <*>.<*>",1312
27286d97,[instance: <*>] Deleting instance files <*>,1312
822b21a7,[instance: <*>] Deletion of <*> complete,1312
66acd71e,HTTP exception thrown: No instances found for any event,1312
2c00d500,Successfully synced instances from host 'cp-<*>.slowvm1.tcloud-pg0.utah.cloudlab.us'.,384
b7d6364d,Base or swap file too young to remove: <*>,638
fd9aba29,The instance sync for host 'cp-<*>.slowvm1.tcloud-pg0.utah.cloudlab.us' did not match. Re-created its InstanceList.,226
5694aaf9,Running instance usage audit for host cp-<*>.slowvm1.tcloud-pg0.utah.cloudlab.us from <*> <*> to <*> <*>. <*> instances.,21
7d8b6b51,"While synchronizing instance power states, found <*> instances in the database and <*> instances on the hypervisor.",27
f5c027b5,Error during ComputeManager._run_image_cache_manager_pass,7
63e82264,"couldn't obtain the vcpu count from domain id: <*>, exception: Requested operation is not valid: cpu affinity is not supported",9
7ca28619,Bad response code while validating token: <*>,1
d2af8f01,"Identity response: <!DOCTYPE HTML PUBLIC ""-/<*>/<*> HTML <*>.<*>/<*>"">",1
c28159fd,Unable to validate token: Failed to fetch token data from identity server,1
